910GFORESTH,Forest Hill Rail Station,NaptanRailStation,51.43928,-0.053157,london-overground,yes,2,"Gospel Oak station,Gorden House Road,Gospel Oak,Greater London,NW5 1LT"
910GGNRSBRY,Gunnersbury Rail Station,NaptanRailStation,51.491678,-0.275286,london-overground,yes,2,"Hackney Central station,off Amhurst Road,Hackney,London,E8 1LL"
910GGOSPLOK,Gospel Oak Rail Station,NaptanRailStation,51.555335,-0.15077,london-overground,no,2,"Hackney Wick station,Wallis Road,Hackney,London,E9 5LH"
910GHACKNYC,Hackney Central Rail Station,NaptanRailStation,51.547105,-0.056058,london-overground,yes,2,"Haggerston station,Lee Street,Haggerston,London,E8 4DY"
910GHACKNYW,Hackney Wick Rail Station,NaptanRailStation,51.54341,-0.02492,london-overground,yes,2,"Hackney Downs station,Dalston Lane,Hackney,London,E8 1LA"
910GHAGGERS,Haggerston Rail Station,NaptanRailStation,51.538705,-0.075666,london-overground,yes,3,"Harlesden,London Overground Ltd,Acton Lane,LONDON,NW10 7AA"
910GHAKNYNM,Hackney Downs Rail Station,NaptanRailStation,51.548757,-0.060819,london-overground,yes,5,"Headstone Lane Railway Station,Long Lane,Harrow Weald,Greater London,HA2 6NB"
910GHARLSDN,Harlesden Rail Station,NaptanRailStation,51.536289,-0.257667,london-overground,yes,2,"Highbury & Islington Underground Station,London Underground Ltd.,Holloway Rd,London,N5 1RA"
910GHEDSTNL,Headstone Lane Rail Station,NaptanRailStation,51.602649,-0.35722,london-overground,yes,4,"Station Approach,The Avenue,E4 9LA"
910GHGHI,Highbury & Islington Rail Station,NaptanRailStation,51.546177,-0.103764,london-overground,yes,2,"Hampstead Heath Railway Station,South End Road,Hampstead,Greater London,NW3 2QD"
910GHGHMSPK,Highams Park Rail Station,NaptanRailStation,51.60835,-0.000222,london-overground,yes,2,"Homerton station,Barnabas Road,Homerton,London,E9 5SB"
910GHMPSTDH,Hampstead Heath Rail Station,NaptanRailStation,51.55521,-0.165705,london-overground,yes,3,"Honor Oak Park,SE23 1EB"
910GHOMRTON,Homerton Rail Station,NaptanRailStation,51.547012,-0.04236,london-overground,yes,1+2,"Hoxton station,Geffrye Street,Hoxton,London,E2 8FF"
