id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,name,host name
6701584,4684939,Greenwich,51.47685884,-0.02015062,Entire home/apt,80,1,4,31/08/2015,3.64,1,54,Fantastic New 1BD flat in Greenwich,Sam
1113541,6111530,Richmond upon Thames,51.41351763,-0.310734867,Entire home/apt,80,4,68,31/08/2015,2.5,2,313,Spacious SW London nr Twickenham,Hannah
7899073,18490602,Westminster,51.51629323,-0.18881052,Private room,79,1,1,31/08/2015,1,2,360,Large double bedroom with ensuite,Alex
1296836,7050882,Westminster,51.51194907,-0.125082813,Private room,79,1,95,31/08/2015,3.82,1,300,Covent Garden Flat Listed Building,Michael
7843089,41325627,Barking and Dagenham,51.54037479,0.072430308,Entire home/apt,79,3,2,31/08/2015,2,1,357,Large 4 bed apartment free wifi ,Mohammed Shalim
173415,816003,Tower Hamlets,51.50581254,-0.058411174,Entire home/apt,79,2,6,31/08/2015,0.72,1,55,Thames warehouse lofty appartment ,Fabien
2068805,10245881,Westminster,51.51165843,-0.185954713,Private room,78,2,16,31/08/2015,0.91,10,241,Luxury studio at Hyde Park 9,Vincent
276517,1444504,Hackney,51.54485965,-0.075509976,Entire home/apt,78,3,27,31/08/2015,0.61,1,150,1 Bed Apt in the heart of Dalston,Aaron
5370639,7177961,Islington,51.54220337,-0.117208127,Private room,75,2,19,31/08/2015,3.28,3,119,Large Double Ensuite in Islington ,Rebecca
3292386,2283878,Westminster,51.50941688,-0.134456641,Private room,75,3,90,31/08/2015,6.44,2,79, Superhost Soho Ensuite Museums,Farid
3765594,622983,Kensington and Chelsea,51.50904301,-0.199404564,Private room,75,2,10,31/08/2015,1.34,1,357,Monochrome memories,Stella
2448427,11903822,Wandsworth,51.4507477,-0.161005031,Private room,75,1,67,31/08/2015,3.76,2,53,Bright spacious room with ensuite ,Sara
325148,1663575,Wandsworth,51.4398735,-0.143832139,Private room,75,1,89,31/08/2015,2.35,2,349,Designer rooms in Balham ,Andrew
