id,url,commonName,placeType,bikePointsNo,timeModified,nFilledDocks,nEmptyDocks,nTotalDocks,lat,lon
BikePoints_34,https://api-neon.tfl.gov.uk/Place/BikePoints_34,"Pancras Road, King's Cross",BikePoint,003428,2016-10-25T15:00:12.38Z,14,2,16,51.534123,-0.129386
BikePoints_37,https://api-neon.tfl.gov.uk/Place/BikePoints_37,"Penywern Road, Earl's Court",BikePoint,003444,2016-10-25T14:55:10.127Z,1,16,17,51.491593,-0.192369
BikePoints_38,https://api-neon.tfl.gov.uk/Place/BikePoints_38,"Abingdon Villas, Kensington",BikePoint,003442,2016-10-25T14:40:08.437Z,1,16,17,51.497387,-0.197245
BikePoints_39,https://api-neon.tfl.gov.uk/Place/BikePoints_39,"Shoreditch High Street, Shoreditch",BikePoint,003445,2016-10-25T15:00:12.38Z,6,32,41,51.526377,-0.07813
BikePoints_40,https://api-neon.tfl.gov.uk/Place/BikePoints_40,"Commercial Street, Shoreditch",BikePoint,001083,2016-10-25T14:55:10.127Z,12,4,16,51.52127,-0.075578
BikePoints_41,https://api-neon.tfl.gov.uk/Place/BikePoints_41,"Sun Street, Liverpool Street",BikePoint,001084,2016-10-25T15:00:12.38Z,13,12,25,51.520017,-0.083911
BikePoints_42,https://api-neon.tfl.gov.uk/Place/BikePoints_42,"Wenlock Road , Hoxton",BikePoint,000979,2016-10-25T15:00:12.38Z,1,27,28,51.530991,-0.093903
BikePoints_43,https://api-neon.tfl.gov.uk/Place/BikePoints_43,"Crawford Street, Marylebone",BikePoint,001036,2016-10-25T14:55:10.127Z,1,17,18,51.52026,-0.157183
BikePoints_44,https://api-neon.tfl.gov.uk/Place/BikePoints_44,"Bruton Street, Mayfair",BikePoint,001034,2016-10-25T13:34:56.47Z,21,0,21,51.510736,-0.144165
BikePoints_45,https://api-neon.tfl.gov.uk/Place/BikePoints_45,"Boston Place, Marylebone",BikePoint,001035,2016-10-25T14:55:10.127Z,3,22,26,51.522511,-0.162298
BikePoints_46,https://api-neon.tfl.gov.uk/Place/BikePoints_46,"Nesham Street, Wapping",BikePoint,001031,2016-10-25T15:00:12.38Z,6,10,16,51.507131,-0.06691
BikePoints_47,https://api-neon.tfl.gov.uk/Place/BikePoints_47,"Warwick Avenue Station, Maida Vale",BikePoint,001027,2016-10-25T14:55:10.127Z,9,10,19,51.523344,-0.183846
BikePoints_48,https://api-neon.tfl.gov.uk/Place/BikePoints_48,"Godliman Street, St. Paul's",BikePoint,000971,2016-10-25T14:50:09.387Z,19,5,25,51.512484,-0.099141
BikePoints_49,https://api-neon.tfl.gov.uk/Place/BikePoints_49,"Curzon Street, Mayfair",BikePoint,003437,2016-10-25T14:50:09.387Z,12,4,16,51.507069,-0.145904
BikePoints_50,https://api-neon.tfl.gov.uk/Place/BikePoints_50,"East Road, Hoxton",BikePoint,001054,2016-10-25T14:50:09.387Z,0,27,27,51.528673,-0.087459
BikePoints_51,https://api-neon.tfl.gov.uk/Place/BikePoints_51,"Finsbury Library , Finsbury",BikePoint,000986,2016-10-25T14:30:06.073Z,17,12,29,51.526717,-0.104298
